anchor_id	case_id	x	y	z	block_spec	block_entity_id	expected_route	stable_optics
roster-sophisticatedstorage-cherry-storage-connector	registry-roster	226	100	196	sophisticatedstorage:cherry_storage_connector[opaque=true]	sophisticatedstorage:storage_connector	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-chest	registry-roster	229	100	196	sophisticatedstorage:chest[facing=north,ticking=false,type=single,waterlogged=false]	sophisticatedstorage:chest	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-controller	registry-roster	232	100	196	sophisticatedstorage:controller[opaque=true]	sophisticatedstorage:controller	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-copper-barrel	registry-roster	235	100	196	sophisticatedstorage:copper_barrel[facing=north,flat_top=false,opaque=true,open=false,ticking=false]	sophisticatedstorage:barrel	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-copper-chest	registry-roster	238	100	196	sophisticatedstorage:copper_chest[facing=north,ticking=false,type=single,waterlogged=false]	sophisticatedstorage:chest	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-copper-shulker-box	registry-roster	241	100	196	sophisticatedstorage:copper_shulker_box[facing=up]	sophisticatedstorage:shulker_box	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-crimson-storage-connector	registry-roster	244	100	196	sophisticatedstorage:crimson_storage_connector[opaque=true]	sophisticatedstorage:storage_connector	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-dark-oak-storage-connector	registry-roster	247	100	196	sophisticatedstorage:dark_oak_storage_connector[opaque=true]	sophisticatedstorage:storage_connector	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-decoration-table	registry-roster	250	100	196	sophisticatedstorage:decoration_table[facing=north]	sophisticatedstorage:decoration_table	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-diamond-barrel	registry-roster	253	100	196	sophisticatedstorage:diamond_barrel[facing=north,flat_top=false,opaque=true,open=false,ticking=false]	sophisticatedstorage:barrel	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-diamond-chest	registry-roster	256	100	196	sophisticatedstorage:diamond_chest[facing=north,ticking=false,type=single,waterlogged=false]	sophisticatedstorage:chest	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-diamond-shulker-box	registry-roster	259	100	196	sophisticatedstorage:diamond_shulker_box[facing=up]	sophisticatedstorage:shulker_box	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-gold-barrel	registry-roster	196	100	199	sophisticatedstorage:gold_barrel[facing=north,flat_top=false,opaque=true,open=false,ticking=false]	sophisticatedstorage:barrel	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-gold-chest	registry-roster	199	100	199	sophisticatedstorage:gold_chest[facing=north,ticking=false,type=single,waterlogged=false]	sophisticatedstorage:chest	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-gold-shulker-box	registry-roster	202	100	199	sophisticatedstorage:gold_shulker_box[facing=up]	sophisticatedstorage:shulker_box	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-iron-barrel	registry-roster	205	100	199	sophisticatedstorage:iron_barrel[facing=north,flat_top=false,opaque=true,open=false,ticking=false]	sophisticatedstorage:barrel	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-iron-chest	registry-roster	208	100	199	sophisticatedstorage:iron_chest[facing=north,ticking=false,type=single,waterlogged=false]	sophisticatedstorage:chest	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-iron-shulker-box	registry-roster	211	100	199	sophisticatedstorage:iron_shulker_box[facing=up]	sophisticatedstorage:shulker_box	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-jungle-storage-connector	registry-roster	214	100	199	sophisticatedstorage:jungle_storage_connector[opaque=true]	sophisticatedstorage:storage_connector	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-limited-barrel-1	registry-roster	217	100	199	sophisticatedstorage:limited_barrel_1[facing=north,flat_top=false,opaque=true,ticking=false,vertical_facing=no]	sophisticatedstorage:limited_barrel	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-limited-barrel-2	registry-roster	220	100	199	sophisticatedstorage:limited_barrel_2[facing=north,flat_top=false,opaque=true,ticking=false,vertical_facing=no]	sophisticatedstorage:limited_barrel	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-limited-barrel-3	registry-roster	223	100	199	sophisticatedstorage:limited_barrel_3[facing=north,flat_top=false,opaque=true,ticking=false,vertical_facing=no]	sophisticatedstorage:limited_barrel	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-limited-barrel-4	registry-roster	226	100	199	sophisticatedstorage:limited_barrel_4[facing=north,flat_top=false,opaque=true,ticking=false,vertical_facing=no]	sophisticatedstorage:limited_barrel	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-limited-copper-barrel-1	registry-roster	229	100	199	sophisticatedstorage:limited_copper_barrel_1[facing=north,flat_top=false,opaque=true,ticking=false,vertical_facing=no]	sophisticatedstorage:limited_barrel	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-limited-copper-barrel-2	registry-roster	232	100	199	sophisticatedstorage:limited_copper_barrel_2[facing=north,flat_top=false,opaque=true,ticking=false,vertical_facing=no]	sophisticatedstorage:limited_barrel	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-limited-copper-barrel-3	registry-roster	235	100	199	sophisticatedstorage:limited_copper_barrel_3[facing=north,flat_top=false,opaque=true,ticking=false,vertical_facing=no]	sophisticatedstorage:limited_barrel	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-limited-copper-barrel-4	registry-roster	238	100	199	sophisticatedstorage:limited_copper_barrel_4[facing=north,flat_top=false,opaque=true,ticking=false,vertical_facing=no]	sophisticatedstorage:limited_barrel	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-limited-diamond-barrel-1	registry-roster	241	100	199	sophisticatedstorage:limited_diamond_barrel_1[facing=north,flat_top=false,opaque=true,ticking=false,vertical_facing=no]	sophisticatedstorage:limited_barrel	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-limited-diamond-barrel-2	registry-roster	244	100	199	sophisticatedstorage:limited_diamond_barrel_2[facing=north,flat_top=false,opaque=true,ticking=false,vertical_facing=no]	sophisticatedstorage:limited_barrel	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-limited-diamond-barrel-3	registry-roster	247	100	199	sophisticatedstorage:limited_diamond_barrel_3[facing=north,flat_top=false,opaque=true,ticking=false,vertical_facing=no]	sophisticatedstorage:limited_barrel	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-limited-diamond-barrel-4	registry-roster	250	100	199	sophisticatedstorage:limited_diamond_barrel_4[facing=north,flat_top=false,opaque=true,ticking=false,vertical_facing=no]	sophisticatedstorage:limited_barrel	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-limited-gold-barrel-1	registry-roster	253	100	199	sophisticatedstorage:limited_gold_barrel_1[facing=north,flat_top=false,opaque=true,ticking=false,vertical_facing=no]	sophisticatedstorage:limited_barrel	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-limited-gold-barrel-2	registry-roster	256	100	199	sophisticatedstorage:limited_gold_barrel_2[facing=north,flat_top=false,opaque=true,ticking=false,vertical_facing=no]	sophisticatedstorage:limited_barrel	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-limited-gold-barrel-3	registry-roster	259	100	199	sophisticatedstorage:limited_gold_barrel_3[facing=north,flat_top=false,opaque=true,ticking=false,vertical_facing=no]	sophisticatedstorage:limited_barrel	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-limited-gold-barrel-4	registry-roster	196	100	202	sophisticatedstorage:limited_gold_barrel_4[facing=north,flat_top=false,opaque=true,ticking=false,vertical_facing=no]	sophisticatedstorage:limited_barrel	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-limited-iron-barrel-1	registry-roster	199	100	202	sophisticatedstorage:limited_iron_barrel_1[facing=north,flat_top=false,opaque=true,ticking=false,vertical_facing=no]	sophisticatedstorage:limited_barrel	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-limited-iron-barrel-2	registry-roster	202	100	202	sophisticatedstorage:limited_iron_barrel_2[facing=north,flat_top=false,opaque=true,ticking=false,vertical_facing=no]	sophisticatedstorage:limited_barrel	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-limited-iron-barrel-3	registry-roster	205	100	202	sophisticatedstorage:limited_iron_barrel_3[facing=north,flat_top=false,opaque=true,ticking=false,vertical_facing=no]	sophisticatedstorage:limited_barrel	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-limited-iron-barrel-4	registry-roster	208	100	202	sophisticatedstorage:limited_iron_barrel_4[facing=north,flat_top=false,opaque=true,ticking=false,vertical_facing=no]	sophisticatedstorage:limited_barrel	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-limited-netherite-barrel-1	registry-roster	211	100	202	sophisticatedstorage:limited_netherite_barrel_1[facing=north,flat_top=false,opaque=true,ticking=false,vertical_facing=no]	sophisticatedstorage:limited_barrel	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-limited-netherite-barrel-2	registry-roster	214	100	202	sophisticatedstorage:limited_netherite_barrel_2[facing=north,flat_top=false,opaque=true,ticking=false,vertical_facing=no]	sophisticatedstorage:limited_barrel	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-limited-netherite-barrel-3	registry-roster	217	100	202	sophisticatedstorage:limited_netherite_barrel_3[facing=north,flat_top=false,opaque=true,ticking=false,vertical_facing=no]	sophisticatedstorage:limited_barrel	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-limited-netherite-barrel-4	registry-roster	220	100	202	sophisticatedstorage:limited_netherite_barrel_4[facing=north,flat_top=false,opaque=true,ticking=false,vertical_facing=no]	sophisticatedstorage:limited_barrel	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-mangrove-storage-connector	registry-roster	223	100	202	sophisticatedstorage:mangrove_storage_connector[opaque=true]	sophisticatedstorage:storage_connector	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-netherite-barrel	registry-roster	226	100	202	sophisticatedstorage:netherite_barrel[facing=north,flat_top=false,opaque=true,open=false,ticking=false]	sophisticatedstorage:barrel	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-netherite-chest	registry-roster	229	100	202	sophisticatedstorage:netherite_chest[facing=north,ticking=false,type=single,waterlogged=false]	sophisticatedstorage:chest	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-netherite-shulker-box	registry-roster	232	100	202	sophisticatedstorage:netherite_shulker_box[facing=up]	sophisticatedstorage:shulker_box	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-oak-storage-connector	registry-roster	235	100	202	sophisticatedstorage:oak_storage_connector[opaque=true]	sophisticatedstorage:storage_connector	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-shulker-box	registry-roster	238	100	202	sophisticatedstorage:shulker_box[facing=up]	sophisticatedstorage:shulker_box	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-spruce-storage-connector	registry-roster	241	100	202	sophisticatedstorage:spruce_storage_connector[opaque=true]	sophisticatedstorage:storage_connector	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-storage-input	registry-roster	244	100	202	sophisticatedstorage:storage_input[opaque=true]	sophisticatedstorage:storage_input	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-storage-io	registry-roster	247	100	202	sophisticatedstorage:storage_io[opaque=true]	sophisticatedstorage:storage_io	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-storage-link	registry-roster	250	100	202	sophisticatedstorage:storage_link[facing=up,opaque=true]	sophisticatedstorage:storage_link	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-storage-output	registry-roster	253	100	202	sophisticatedstorage:storage_output[opaque=true]	sophisticatedstorage:storage_output	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-warped-storage-connector	registry-roster	256	100	202	sophisticatedstorage:warped_storage_connector[opaque=true]	sophisticatedstorage:storage_connector	custom	registered-block-id,default-static-state
barrel-orientation-north-flat-false	regular-barrel-orientation-flat-top	259	100	202	sophisticatedstorage:netherite_barrel[facing=north,flat_top=false,opaque=true,open=false,ticking=false]	sophisticatedstorage:barrel	custom	facing,flat-top,tier
barrel-orientation-north-flat-true	regular-barrel-orientation-flat-top	196	100	205	sophisticatedstorage:netherite_barrel[facing=north,flat_top=true,opaque=true,open=false,ticking=false]	sophisticatedstorage:barrel	custom	facing,flat-top,tier
barrel-orientation-east-flat-false	regular-barrel-orientation-flat-top	199	100	205	sophisticatedstorage:netherite_barrel[facing=east,flat_top=false,opaque=true,open=false,ticking=false]	sophisticatedstorage:barrel	custom	facing,flat-top,tier
barrel-orientation-east-flat-true	regular-barrel-orientation-flat-top	202	100	205	sophisticatedstorage:netherite_barrel[facing=east,flat_top=true,opaque=true,open=false,ticking=false]	sophisticatedstorage:barrel	custom	facing,flat-top,tier
barrel-orientation-south-flat-false	regular-barrel-orientation-flat-top	205	100	205	sophisticatedstorage:netherite_barrel[facing=south,flat_top=false,opaque=true,open=false,ticking=false]	sophisticatedstorage:barrel	custom	facing,flat-top,tier
barrel-orientation-south-flat-true	regular-barrel-orientation-flat-top	208	100	205	sophisticatedstorage:netherite_barrel[facing=south,flat_top=true,opaque=true,open=false,ticking=false]	sophisticatedstorage:barrel	custom	facing,flat-top,tier
barrel-orientation-west-flat-false	regular-barrel-orientation-flat-top	211	100	205	sophisticatedstorage:netherite_barrel[facing=west,flat_top=false,opaque=true,open=false,ticking=false]	sophisticatedstorage:barrel	custom	facing,flat-top,tier
barrel-orientation-west-flat-true	regular-barrel-orientation-flat-top	214	100	205	sophisticatedstorage:netherite_barrel[facing=west,flat_top=true,opaque=true,open=false,ticking=false]	sophisticatedstorage:barrel	custom	facing,flat-top,tier
barrel-orientation-up-flat-false	regular-barrel-orientation-flat-top	217	100	205	sophisticatedstorage:netherite_barrel[facing=up,flat_top=false,opaque=true,open=false,ticking=false]	sophisticatedstorage:barrel	custom	facing,flat-top,tier
barrel-orientation-up-flat-true	regular-barrel-orientation-flat-top	220	100	205	sophisticatedstorage:netherite_barrel[facing=up,flat_top=true,opaque=true,open=false,ticking=false]	sophisticatedstorage:barrel	custom	facing,flat-top,tier
barrel-orientation-down-flat-false	regular-barrel-orientation-flat-top	223	100	205	sophisticatedstorage:netherite_barrel[facing=down,flat_top=false,opaque=true,open=false,ticking=false]	sophisticatedstorage:barrel	custom	facing,flat-top,tier
barrel-orientation-down-flat-true	regular-barrel-orientation-flat-top	226	100	205	sophisticatedstorage:netherite_barrel[facing=down,flat_top=true,opaque=true,open=false,ticking=false]	sophisticatedstorage:barrel	custom	facing,flat-top,tier
limited-orientation-north-no-flat-false	limited-barrel-orientation-flat-top	229	100	205	sophisticatedstorage:limited_netherite_barrel_4[facing=north,flat_top=false,opaque=true,ticking=false,vertical_facing=no]	sophisticatedstorage:limited_barrel	custom	horizontal-facing,vertical-facing,flat-top,slot-layout
limited-orientation-north-no-flat-true	limited-barrel-orientation-flat-top	232	100	205	sophisticatedstorage:limited_netherite_barrel_4[facing=north,flat_top=true,opaque=true,ticking=false,vertical_facing=no]	sophisticatedstorage:limited_barrel	custom	horizontal-facing,vertical-facing,flat-top,slot-layout
limited-orientation-north-up-flat-false	limited-barrel-orientation-flat-top	235	100	205	sophisticatedstorage:limited_netherite_barrel_4[facing=north,flat_top=false,opaque=true,ticking=false,vertical_facing=up]	sophisticatedstorage:limited_barrel	custom	horizontal-facing,vertical-facing,flat-top,slot-layout
limited-orientation-north-up-flat-true	limited-barrel-orientation-flat-top	238	100	205	sophisticatedstorage:limited_netherite_barrel_4[facing=north,flat_top=true,opaque=true,ticking=false,vertical_facing=up]	sophisticatedstorage:limited_barrel	custom	horizontal-facing,vertical-facing,flat-top,slot-layout
limited-orientation-north-down-flat-false	limited-barrel-orientation-flat-top	241	100	205	sophisticatedstorage:limited_netherite_barrel_4[facing=north,flat_top=false,opaque=true,ticking=false,vertical_facing=down]	sophisticatedstorage:limited_barrel	custom	horizontal-facing,vertical-facing,flat-top,slot-layout
limited-orientation-north-down-flat-true	limited-barrel-orientation-flat-top	244	100	205	sophisticatedstorage:limited_netherite_barrel_4[facing=north,flat_top=true,opaque=true,ticking=false,vertical_facing=down]	sophisticatedstorage:limited_barrel	custom	horizontal-facing,vertical-facing,flat-top,slot-layout
limited-orientation-east-no-flat-false	limited-barrel-orientation-flat-top	247	100	205	sophisticatedstorage:limited_netherite_barrel_4[facing=east,flat_top=false,opaque=true,ticking=false,vertical_facing=no]	sophisticatedstorage:limited_barrel	custom	horizontal-facing,vertical-facing,flat-top,slot-layout
limited-orientation-east-no-flat-true	limited-barrel-orientation-flat-top	250	100	205	sophisticatedstorage:limited_netherite_barrel_4[facing=east,flat_top=true,opaque=true,ticking=false,vertical_facing=no]	sophisticatedstorage:limited_barrel	custom	horizontal-facing,vertical-facing,flat-top,slot-layout
limited-orientation-east-up-flat-false	limited-barrel-orientation-flat-top	253	100	205	sophisticatedstorage:limited_netherite_barrel_4[facing=east,flat_top=false,opaque=true,ticking=false,vertical_facing=up]	sophisticatedstorage:limited_barrel	custom	horizontal-facing,vertical-facing,flat-top,slot-layout
limited-orientation-east-up-flat-true	limited-barrel-orientation-flat-top	256	100	205	sophisticatedstorage:limited_netherite_barrel_4[facing=east,flat_top=true,opaque=true,ticking=false,vertical_facing=up]	sophisticatedstorage:limited_barrel	custom	horizontal-facing,vertical-facing,flat-top,slot-layout
limited-orientation-east-down-flat-false	limited-barrel-orientation-flat-top	259	100	205	sophisticatedstorage:limited_netherite_barrel_4[facing=east,flat_top=false,opaque=true,ticking=false,vertical_facing=down]	sophisticatedstorage:limited_barrel	custom	horizontal-facing,vertical-facing,flat-top,slot-layout
limited-orientation-east-down-flat-true	limited-barrel-orientation-flat-top	196	100	208	sophisticatedstorage:limited_netherite_barrel_4[facing=east,flat_top=true,opaque=true,ticking=false,vertical_facing=down]	sophisticatedstorage:limited_barrel	custom	horizontal-facing,vertical-facing,flat-top,slot-layout
limited-orientation-south-no-flat-false	limited-barrel-orientation-flat-top	199	100	208	sophisticatedstorage:limited_netherite_barrel_4[facing=south,flat_top=false,opaque=true,ticking=false,vertical_facing=no]	sophisticatedstorage:limited_barrel	custom	horizontal-facing,vertical-facing,flat-top,slot-layout
limited-orientation-south-no-flat-true	limited-barrel-orientation-flat-top	202	100	208	sophisticatedstorage:limited_netherite_barrel_4[facing=south,flat_top=true,opaque=true,ticking=false,vertical_facing=no]	sophisticatedstorage:limited_barrel	custom	horizontal-facing,vertical-facing,flat-top,slot-layout
limited-orientation-south-up-flat-false	limited-barrel-orientation-flat-top	205	100	208	sophisticatedstorage:limited_netherite_barrel_4[facing=south,flat_top=false,opaque=true,ticking=false,vertical_facing=up]	sophisticatedstorage:limited_barrel	custom	horizontal-facing,vertical-facing,flat-top,slot-layout
limited-orientation-south-up-flat-true	limited-barrel-orientation-flat-top	208	100	208	sophisticatedstorage:limited_netherite_barrel_4[facing=south,flat_top=true,opaque=true,ticking=false,vertical_facing=up]	sophisticatedstorage:limited_barrel	custom	horizontal-facing,vertical-facing,flat-top,slot-layout
limited-orientation-south-down-flat-false	limited-barrel-orientation-flat-top	211	100	208	sophisticatedstorage:limited_netherite_barrel_4[facing=south,flat_top=false,opaque=true,ticking=false,vertical_facing=down]	sophisticatedstorage:limited_barrel	custom	horizontal-facing,vertical-facing,flat-top,slot-layout
limited-orientation-south-down-flat-true	limited-barrel-orientation-flat-top	214	100	208	sophisticatedstorage:limited_netherite_barrel_4[facing=south,flat_top=true,opaque=true,ticking=false,vertical_facing=down]	sophisticatedstorage:limited_barrel	custom	horizontal-facing,vertical-facing,flat-top,slot-layout
limited-orientation-west-no-flat-false	limited-barrel-orientation-flat-top	217	100	208	sophisticatedstorage:limited_netherite_barrel_4[facing=west,flat_top=false,opaque=true,ticking=false,vertical_facing=no]	sophisticatedstorage:limited_barrel	custom	horizontal-facing,vertical-facing,flat-top,slot-layout
limited-orientation-west-no-flat-true	limited-barrel-orientation-flat-top	220	100	208	sophisticatedstorage:limited_netherite_barrel_4[facing=west,flat_top=true,opaque=true,ticking=false,vertical_facing=no]	sophisticatedstorage:limited_barrel	custom	horizontal-facing,vertical-facing,flat-top,slot-layout
limited-orientation-west-up-flat-false	limited-barrel-orientation-flat-top	223	100	208	sophisticatedstorage:limited_netherite_barrel_4[facing=west,flat_top=false,opaque=true,ticking=false,vertical_facing=up]	sophisticatedstorage:limited_barrel	custom	horizontal-facing,vertical-facing,flat-top,slot-layout
limited-orientation-west-up-flat-true	limited-barrel-orientation-flat-top	226	100	208	sophisticatedstorage:limited_netherite_barrel_4[facing=west,flat_top=true,opaque=true,ticking=false,vertical_facing=up]	sophisticatedstorage:limited_barrel	custom	horizontal-facing,vertical-facing,flat-top,slot-layout
limited-orientation-west-down-flat-false	limited-barrel-orientation-flat-top	229	100	208	sophisticatedstorage:limited_netherite_barrel_4[facing=west,flat_top=false,opaque=true,ticking=false,vertical_facing=down]	sophisticatedstorage:limited_barrel	custom	horizontal-facing,vertical-facing,flat-top,slot-layout
limited-orientation-west-down-flat-true	limited-barrel-orientation-flat-top	232	100	208	sophisticatedstorage:limited_netherite_barrel_4[facing=west,flat_top=true,opaque=true,ticking=false,vertical_facing=down]	sophisticatedstorage:limited_barrel	custom	horizontal-facing,vertical-facing,flat-top,slot-layout
chest-single-north	chest-single-orientation	235	100	208	sophisticatedstorage:chest[facing=north,ticking=false,type=single,waterlogged=false]	sophisticatedstorage:chest	custom	facing,single-topology
chest-single-east	chest-single-orientation	238	100	208	sophisticatedstorage:chest[facing=east,ticking=false,type=single,waterlogged=false]	sophisticatedstorage:chest	custom	facing,single-topology
chest-single-south	chest-single-orientation	241	100	208	sophisticatedstorage:chest[facing=south,ticking=false,type=single,waterlogged=false]	sophisticatedstorage:chest	custom	facing,single-topology
chest-single-west	chest-single-orientation	244	100	208	sophisticatedstorage:chest[facing=west,ticking=false,type=single,waterlogged=false]	sophisticatedstorage:chest	custom	facing,single-topology
chest-double-wood-north-right-main	chest-double-topology	247	100	208	sophisticatedstorage:chest[facing=north,ticking=false,type=right,waterlogged=false]	sophisticatedstorage:chest	custom	tier,facing,right-main-half
chest-double-wood-north-left-secondary	chest-double-topology	246	100	208	sophisticatedstorage:chest[facing=north,ticking=false,type=left,waterlogged=false]	sophisticatedstorage:chest	custom	tier,facing,left-secondary-half
chest-double-wood-east-right-main	chest-double-topology	250	100	208	sophisticatedstorage:chest[facing=east,ticking=false,type=right,waterlogged=false]	sophisticatedstorage:chest	custom	tier,facing,right-main-half
chest-double-wood-east-left-secondary	chest-double-topology	250	100	207	sophisticatedstorage:chest[facing=east,ticking=false,type=left,waterlogged=false]	sophisticatedstorage:chest	custom	tier,facing,left-secondary-half
chest-double-wood-south-right-main	chest-double-topology	253	100	208	sophisticatedstorage:chest[facing=south,ticking=false,type=right,waterlogged=false]	sophisticatedstorage:chest	custom	tier,facing,right-main-half
chest-double-wood-south-left-secondary	chest-double-topology	254	100	208	sophisticatedstorage:chest[facing=south,ticking=false,type=left,waterlogged=false]	sophisticatedstorage:chest	custom	tier,facing,left-secondary-half
chest-double-wood-west-right-main	chest-double-topology	256	100	208	sophisticatedstorage:chest[facing=west,ticking=false,type=right,waterlogged=false]	sophisticatedstorage:chest	custom	tier,facing,right-main-half
chest-double-wood-west-left-secondary	chest-double-topology	256	100	209	sophisticatedstorage:chest[facing=west,ticking=false,type=left,waterlogged=false]	sophisticatedstorage:chest	custom	tier,facing,left-secondary-half
chest-double-copper-north-right-main	chest-double-topology	259	100	208	sophisticatedstorage:copper_chest[facing=north,ticking=false,type=right,waterlogged=false]	sophisticatedstorage:chest	custom	tier,facing,right-main-half
chest-double-copper-north-left-secondary	chest-double-topology	258	100	208	sophisticatedstorage:copper_chest[facing=north,ticking=false,type=left,waterlogged=false]	sophisticatedstorage:chest	custom	tier,facing,left-secondary-half
chest-double-copper-east-right-main	chest-double-topology	196	100	211	sophisticatedstorage:copper_chest[facing=east,ticking=false,type=right,waterlogged=false]	sophisticatedstorage:chest	custom	tier,facing,right-main-half
chest-double-copper-east-left-secondary	chest-double-topology	196	100	210	sophisticatedstorage:copper_chest[facing=east,ticking=false,type=left,waterlogged=false]	sophisticatedstorage:chest	custom	tier,facing,left-secondary-half
chest-double-copper-south-right-main	chest-double-topology	199	100	211	sophisticatedstorage:copper_chest[facing=south,ticking=false,type=right,waterlogged=false]	sophisticatedstorage:chest	custom	tier,facing,right-main-half
chest-double-copper-south-left-secondary	chest-double-topology	200	100	211	sophisticatedstorage:copper_chest[facing=south,ticking=false,type=left,waterlogged=false]	sophisticatedstorage:chest	custom	tier,facing,left-secondary-half
chest-double-copper-west-right-main	chest-double-topology	202	100	211	sophisticatedstorage:copper_chest[facing=west,ticking=false,type=right,waterlogged=false]	sophisticatedstorage:chest	custom	tier,facing,right-main-half
chest-double-copper-west-left-secondary	chest-double-topology	202	100	212	sophisticatedstorage:copper_chest[facing=west,ticking=false,type=left,waterlogged=false]	sophisticatedstorage:chest	custom	tier,facing,left-secondary-half
chest-double-iron-north-right-main	chest-double-topology	205	100	211	sophisticatedstorage:iron_chest[facing=north,ticking=false,type=right,waterlogged=false]	sophisticatedstorage:chest	custom	tier,facing,right-main-half
chest-double-iron-north-left-secondary	chest-double-topology	204	100	211	sophisticatedstorage:iron_chest[facing=north,ticking=false,type=left,waterlogged=false]	sophisticatedstorage:chest	custom	tier,facing,left-secondary-half
